"LogID","AdvertID","LogIP","LogTimestamp","LogBrowser","LogType","LogOriginPage"
"11810661","782","81.103.157.38","2022-03-21 12:48:44","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","C","/index.php"
"11810663","782","207.99.127.20","2022-03-21 13:12:45","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:58.0) Gecko/20100101 Firefox/58.0","C","/pages.php"
"11810665","782","81.21.47.241","2022-03-21 13:28:34","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36","C","/index.php"
"11810666","782","81.21.47.241","2022-03-21 13:28:53","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36","C","/index.php"
"11810667","782","81.21.47.241","2022-03-21 13:31:10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36","C","/index.php"
"11810668","782","81.21.47.241","2022-03-21 13:31:48","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36","C","/index.php"
"11810669","782","23.23.61.197","2022-03-21 13:39:33","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0","C","/index.php"
"11810671","782","5.196.93.147","2022-03-21 15:31:22","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36","C","/index.php"
"11810672","782","2001:41d0:1008:2bcc:","2022-03-21 15:31:23","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36","C","/index.php"
"11810687","782","192.126.234.3","2022-03-21 19:53:17","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:53.0) Gecko/20100101 Firefox/53.0","C","/index.php"
"11810706","782","192.126.234.3","2022-03-21 19:56:00","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:53.0) Gecko/20100101 Firefox/53.0","C","/news.php"
